input,output,hamming_distance
0101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,0101010101000101010101010100010101010101010101010101010101110101010101010101010101010101010101000101010101010101110101010101010101010101000100010101010101010111010101010101010101010101010101010101010111010101010101010101010101010101010101010101010101010101,9
0101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,0101010101010101010001010101010101010101010101010101010101000101010101010101010101010101010101010101010101110101010101010101011101010101110001010101010101010101010101010101010001010101010101010101010101010101010101010001010101010101010100011101010101010101,10
0101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,0101010101010001010101010101010101010111010101010101010101010101010101010101010101010001010101010100010101010101010101010111010100000101010101010101010101110001010100010101011101010101000101010101011101010101010101010101010101010101010101010101010101010101,13
0101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,0101010101010101010101010101011101010101010101010101110101010101010101010101010101010101010101010101010111010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101011101010101010101010101010101010101010101010101010100,5
0101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,0101010101010101010101010101110101010101010101010101010101010101010101010101010101010001010101010101010101010101010101010101010101010101010101010101010101010101011101010101010101010101010101010101010101010101010101010101010101010111010101010101010101010101,4
0101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,0101010101110101010111010001010101010101010101011101010101010101010101010101010101010101010101010101010101010101010101010011010111010101010101110101010101010101010101010101010101010101011101010101010101010101000101010101010101010101010100010101010101010101,11
0101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,0101010101010101010101010100010101010101010101010101010101010101010101010101010101001101010101010101010101010101110101111101010100010101010101010101010101010101010101010101010101010101010111010101010100010101010101000101010101010101010101010101010101010101,10
0101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,0101010101010101010101010101000101010101010101010101010101010101010101010101110101010101010101010101010101010101011101110101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101011101010101010101010101,5
0101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,0101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010111010101010111010101010101010101010101000101010101010101010101010101010101010101010111010101010101010100010001010001010101010101010111010101010101010101010101010101,8
0101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,0111010101010111010101011101010101011101010101110101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101110101010111010101010101010101010101010111000101010101010101110101010111010101010101010101010101010101010101,11
