input,output,hamming_distance
01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,01110101010101010101010101010101010101010101010101010101010100010101010101010101010101010111010101010101010101010100010101010101010101010100010101010101010101010101000101010101110101010101010101010101010101011101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101110111010101010101010101010101010101110101010101010101010101010101010101010101010101010101010101010101010101000101010101110101010101010101010101010100000101010101010101010101010101010101010101,15
01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,01010101010101010101010101010101010101010101010101010101010101010101010101010101011101010101010101010101010101010101010101010101010100010101010101011101010101010101010101010101010101010101010101000101110100010101010101010101010101010101010101010101010101010101010011010101010101010100010101010100010101010101010001010101010101010101010101010101010101011101010101010101010100010101010001010101010101010101010101010101010111010101010101010101010101010101010101010101010101010101010101010101010101000101010101010101,16
01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,01010001010100010101010101010101010101010101010101010111010101010101010101010111010101010100010101010101010101010101010101010101010101010101000101010101010101010101010111010101010101001101010101010101010101010101010101010101010101010101010101010101011101000101010101010101010101010101010101010101010111010101010101010101010101010101010101110101010101000101010101010101010101010101010101010101010101010001010100010101010101010101010101110101010101010101010101010101010101010101010101010101011100010101010101010101,19
01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,01010101010101010101000101010101010101010101010101010101000101010101011101010101010101110101010101010101000101010101010101000101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101110001010101010101010101010101010101010101100101010101011101010101010101010101010101010101010101010101010101011101010101010101010101010101010101010101010101010101010101000101010101010101010101010101010101010100010101010101010101010101010101010101010101010101010101010101010101010101,14
01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,01010101010101011101010101110101000101010101010100000101010101010101110101010101010101010101010101010101010101010100010101010101010111010101010101010101010101010101010101010101010101010101011101010101010101010101010101010111010101010101010101011101010101010101110101010101010101010101010101010101010101010101010101010101010101010101010101010101010111010101010101010101010101010101010101010001010101010101010101010101010101010101010101010101010111000101000101010101010101010101010101010101010101011101010101010101,18
01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,01010101010101011101010101010101010101010101010101010101010101010101010111110101010101010101010001010101010101010101010101010101010101000101010101010101010101010111010101010101010101010100010101010101010101010101010111010101010101010101010101110101010101010101010101010101010101010001010101010101010001010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101110101010101010101010111010101010101000101010100010101010101010101010101010101010101011101010101010001010101010101010101,17
01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,01011101011101110101010101010101010101010101010100010101010101010101010101010101010101010101010101010101010101000101010001010100010001010101010101010101010101010101010101010101010101010101010101010101010101010111010101010101010101010101010101010111010101010001010101010101010101010101010101010101010101010111010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101000101010101010101010101010101010101110101010101010101010101010101010101010101010101010101000111110101010001010101,18
01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,01010101010101010111010111010101010101010101010001010101010101010101011101010101010101010101010001010101110101010101010101010101010101010101110001010101010101000101010101010101010101010101010101000101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010100010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101000101010101010101010101010101010101010101010101010101010101010101000101,13
01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,01010101010101010101010101010001010101010101010101010101010101010101010100010101010101000101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101111101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101000101010101010101010101010001010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010111010101010101110101010101010001010101010101010101010101010101,10
01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,01010101011101010101010101010101110101010101010101010101010101010101010101010101010101010101010101010101010101010101000101010101010111010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010111010101010101010101010001010101010101010101010101010101010111010101000101010101011101000101011101010101010101010101100100010101010101010101110101010101010101011101010001010101010101010101010101010101010101010101010101010101010101010101010101010101010101010100,18
